state	requested_width	requested_height	screen_width	screen_height
01_center	720	1280	720	1280
02_center_drawer_open	720	1280	720	1280
03_center_drawer_closed	720	1280	720	1280
04_galaxy_neutral	720	1280	720	1280
05_explore_empty	720	1280	720	1280
06_hangar	720	1280	720	1280
07_hangar_to_center	720	1280	720	1280
08_hangar_to_explore	720	1280	720	1280
09_relics_page1	720	1280	720	1280
10_relics_page2	720	1280	720	1280
11_relics_page3	720	1280	720	1280
12_relics_to_center	720	1280	720	1280
13_relics_to_explore	720	1280	720	1280
14_tree	720	1280	720	1280
15_tree_to_center	720	1280	720	1280
16_tree_to_explore	720	1280	720	1280
17_outer_rim_selected	720	1280	720	1280
17_outer_rim	720	1280	720	1280
18_metals	720	1280	720	1280
19_metals_return	720	1280	720	1280
20_debris_ring_selected	720	1280	720	1280
20_debris_ring	720	1280	720	1280
22_ancient_orbits_selected	720	1280	720	1280
22_ancient_orbits	720	1280	720	1280
24_silent_frontier_selected	720	1280	720	1280
24_silent_frontier	720	1280	720	1280
26_galaxy_ark_selected	720	1280	720	1280
27_ark	720	1280	720	1280
28_ark_investigated	720	1280	720	1280
29_expedition_result	720	1280	720	1280
30_record	720	1280	720	1280
31_record_to_explore	720	1280	720	1280
32_return_center	720	1280	720	1280
